Fecha,DViento,HAire10,O3,P,PLiquida,PM2.5,TMPR_AIR_10CM,VViento
2024-11-08,179.90511888,93.72334028,5.32399975,16.64997917,0.16333333,4.86863524,16.64997917,0.67405949
2024-11-09,202.25909194,85.95697917,15.27863077,17.94815278,0.18041667,3.72329987,17.94815278,0.73034759
2024-11-10,150.07505392,89.73872222,14.56742645,17.653125,0.19541667,3.4176085,17.653125,0.7423713
2024-11-11,207.41902936,85.72178472,21.39335299,18.16272222,0.41166667,3.15046827,18.16272222,0.57555674
2024-11-12,201.03944722,81.04929167,15.44816824,19.10217361,0.08083333,6.68999783,19.10217361,0.60015621
2024-11-13,189.45421121,84.63440278,9.31922904,18.68610417,0.02666667,8.11926208,18.68610417,0.5049378
2024-11-14,207.84900411,89.06032639,10.73346292,17.59122222,0.20833333,6.53247958,17.59122222,0.62971
2024-11-15,156.55448634,90.26077083,11.75530822,17.75836806,0.0725,12.9605325,17.75836806,0.77481441
2024-11-16,197.3372516,87.47427778,15.05791219,18.27072222,0.01541667,13.45532708,18.27072222,0.65550382
2024-11-17,173.60845021,85.17191667,21.0009644,18.65048611,0.01666667,7.89966542,18.65048611,0.7550043
2024-11-18,127.24785821,86.62416667,23.1918007,17.97138889,0.17875,7.27164995,17.97138889,0.79336234
2024-11-19,156.18281471,90.77052083,15.21397583,17.49372917,0.08958333,10.79841478,17.49372917,0.82477573
2024-11-20,178.40129082,87.8715,36.90158795,17.90329861,0.23041667,15.94490583,17.90329861,0.67116649
2024-11-21,176.69810282,87.46065972,22.76706848,18.69233333,0.06375,12.4744015,18.69233333,0.56856705
2024-11-22,138.93049463,88.22137865,11.05227866,18.38483651,0.36666667,7.87784371,18.38483651,0.51934851
2024-11-23,176.24869828,88.54689218,16.15333034,18.01701565,0.10708333,7.07662958,18.01701565,0.74973446
2024-11-24,173.23497882,80.53932639,29.06128005,19.72396528,0.00166667,8.41089667,19.72396528,0.78541742
2024-11-25,171.79313248,76.84688194,21.66312015,20.19815972,0.00541667,9.83334654,20.19815972,1.04270038
2024-11-26,182.07615969,80.43264583,34.28941213,20.56342361,0.01541667,11.44581714,20.56342361,0.84114118
2024-11-27,194.87566335,84.19560092,19.20742155,18.99837197,0.12916667,10.79173274,18.99837197,0.85865792
2024-11-28,200.16345292,78.41087041,15.86498418,20.25424141,0.0,11.28154125,20.25424141,0.7885452
2024-11-29,191.867492,80.19003472,22.00646016,20.1286875,0.03625,12.29743143,20.1286875,0.8134492
2024-11-30,176.92128563,71.44990278,31.08044634,20.66949306,0.0,10.54203708,20.66949306,1.07127157
2024-12-01,138.75320568,74.34369444,27.10040336,20.59863889,0.00791667,18.2,20.59863889,0.96750648
2024-12-02,175.02781028,80.92446528,30.16487296,19.84244444,0.00708333,11.065275,19.84244444,0.84065454
2024-12-03,168.67532685,81.18043918,32.32534586,19.25719984,0.00875,11.86189083,19.25719984,1.0118312
2024-12-04,154.55793349,77.78127476,24.78587935,19.67997161,0.0,13.2107525,19.67997161,0.99577915
2024-12-05,174.79932728,78.38344323,27.2710071,19.88839139,0.02041667,12.6743775,19.88839139,0.92010158
2024-12-06,155.19978771,75.0359319,44.05379414,20.05034042,0.00375,12.46238917,20.05034042,0.7549563
2024-12-07,169.92740269,75.52255805,29.18390148,19.47672019,0.00041667,10.06159417,19.47672019,0.73399606
2024-12-08,169.49796622,69.7020819,38.57670339,18.96600548,0.00083333,11.04445609,18.96600548,1.17928634
2024-12-09,161.93639416,73.94379461,33.49200122,19.41253941,0.0,11.04635125,19.41253941,1.04354509
2024-12-10,183.25962862,74.41093408,28.1383924,19.88235673,0.00875,12.44647367,19.88235673,1.13398681
2024-12-11,194.09809792,75.32395139,35.58793919,20.12969444,0.0,15.253525,20.12969444,0.94744236
2024-12-12,150.36491317,76.01387992,27.72310699,19.37784985,0.0,13.58433042,19.37784985,0.98086802
2024-12-13,205.77780672,75.75738343,45.06226254,20.1115249,0.00125,16.70193565,20.1115249,0.7056701
2024-12-14,228.02467372,78.62773835,38.98023938,19.89004426,0.11875,19.59673125,19.89004426,0.46918013
2024-12-15,146.81827782,87.52622222,29.38009577,18.17488195,0.42125,7.21009263,18.17488195,0.51172259
2024-12-16,202.34908208,86.09940145,11.22394866,18.88964441,0.00458333,15.970145,18.88964441,0.53952744
2024-12-17,179.70075028,78.42746183,26.20828799,20.53235058,0.00333333,15.39741875,20.53235058,0.79247073
2024-12-18,168.35939006,74.24301173,25.43986034,20.88060991,0.0,14.69975314,20.88060991,1.02835121
2024-12-19,189.80374447,83.20726001,20.6739739,18.85287159,0.03,14.00802208,18.85287159,0.88172823
2024-12-20,194.81461803,81.87276566,37.08072188,19.39711488,0.0,18.32631917,19.39711488,0.8617421
2024-12-21,203.06503961,86.09411806,20.32245913,19.42001389,0.0675,16.60390083,19.42001389,0.6143228
2024-12-22,180.63782137,82.06147222,22.48059638,19.8486875,0.07916667,8.57543316,19.8486875,0.87149224
2024-12-23,181.10214971,87.04561111,18.41773951,19.01529861,0.10083333,9.08286458,19.01529861,0.7565472
2024-12-24,172.88537289,87.73454861,27.67974521,18.39183333,0.16458333,8.21521213,18.39183333,0.89183376
2024-12-25,190.12928782,85.16044445,33.52470027,19.20234028,0.3375,11.41713542,19.20234028,0.94401845
