Fecha,DViento,HAire10,HAire2,NO,NO2,NOx,O3,P,PLiquida,PM2.5,RGlobal,TAire10,TAire2,TMPR_AIR_10CM,VViento
2019-02-14,63.10203871,64.83582917,,14.67966554,32.63755619,,28.12118238,23.29081667,0.13333333,24.66666667,164.43685217,,,23.29081667,1.97098146
2019-02-15,123.02712125,64.63385,,25.1439238,31.267951,,29.17572672,23.60015,0.0,32.54166667,191.47208404,,,23.60015,1.80481129
2019-02-16,76.19323609,66.19611739,,22.80658753,38.85980917,,25.7505013,23.06604348,0.0,36.66666667,138.77225,,,23.06604348,1.39863048
2019-02-17,108.23626625,67.327375,,8.01860978,24.77474492,,32.11046639,22.79371667,0.0,34.30434783,126.67625179,,,22.79371667,1.76992621
2019-02-18,196.43169125,70.0215625,,28.24923177,35.19801684,,35.12695369,22.23283333,0.6375,33.625,180.87751667,,,22.23283333,0.84954992
2019-02-19,233.24514542,77.86420833,,40.00499276,28.23121086,,24.42192471,20.42745417,0.1375,32.875,105.80491088,,,20.42745417,0.65250991
2019-02-20,165.6188875,74.98722917,,48.90870269,38.79711277,,18.6793319,20.94575417,0.40416667,24.0,101.59175905,,,20.94575417,1.03407078
2019-02-21,133.16266746,64.57409583,,25.24890412,31.26234107,,25.08017079,23.54639167,0.00416667,22.70833333,151.1657495,,,23.54639167,1.27477391
2019-02-22,92.00956292,61.1305125,,26.52474933,39.91179682,,23.42069404,24.027925,0.0,24.125,141.56104381,,,24.027925,1.59907475
2019-02-23,158.98098333,63.8827375,,22.96302318,37.11696375,,27.51624997,22.44670833,0.0,18.58333333,119.9513713,,,22.44670833,1.16910867
2019-02-24,145.99821679,66.51929583,,15.23451222,33.07448514,,39.22250961,22.50535417,0.0,29.5,122.70931405,,,22.50535417,0.89940163
2019-02-25,88.17069458,62.94985833,,26.12307238,34.35615984,,31.18671825,22.887625,0.0,34.75,215.32902667,,,22.887625,1.7683297
2019-02-26,110.18776667,70.2983875,,19.25053312,46.14444559,,26.67424945,21.54034167,0.44583333,45.95833333,121.73854583,,,21.54034167,0.97690938
2019-02-27,192.10779583,78.49105,,23.97588423,50.49504426,,29.68256198,19.80412083,0.425,37.70833333,97.97168929,,,19.80412083,0.74231416
2019-02-28,189.24873333,72.9772,,46.15459306,37.17083,,27.0748128,20.97491667,0.84166667,26.5,219.95836667,,,20.97491667,0.90328095
2019-03-01,166.279933,68.828655,,37.00764542,38.30024266,,36.14879898,22.010725,0.005,35.79166667,208.03743458,,,22.010725,0.93616432
2019-03-02,,,,17.81599286,37.41630339,,23.48609214,,,25.91666667,,,,,
2019-03-03,172.961875,83.0396,,16.97962017,30.28174813,,33.09143787,17.827625,0.0,24.09090909,0.0,,,17.827625,0.78915075
2019-03-04,160.72851504,69.45984583,,31.0663766,35.38358312,,28.21927952,21.95419583,0.22083333,31.75,197.33972317,,,21.95419583,1.55202604
2019-03-05,99.93989542,67.96841667,,17.00969412,35.98047601,,30.12399915,22.70111667,0.0,44.125,156.34064138,,,22.70111667,1.71705533
2019-03-06,75.83983942,67.9266375,,13.98578257,36.87273614,,33.39390407,23.00623333,0.0,39.20833333,173.35933417,,,23.00623333,1.874326
2019-03-07,79.60043583,68.89234583,,17.19918301,41.33942734,,28.28467762,22.48077917,0.00416667,36.0,131.56877,,,22.48077917,1.58896588
2019-03-08,101.49114688,68.84375417,,19.465834,39.34428417,,30.81067918,22.4776,0.0,33.86956522,142.14647304,,,22.4776,1.81072563
2019-03-09,77.52280417,59.26271667,,15.96149043,42.04181188,,34.9716332,24.40398333,0.025,28.375,184.36456917,,,24.40398333,1.62509575
2019-03-10,184.21407917,71.75855833,,14.1355953,28.00392272,,29.24112482,22.13085417,1.35416667,22.20833333,128.94302908,,,22.13085417,1.18591464
2019-03-11,205.64826957,77.15321304,,44.44999025,33.61218664,,19.25974002,20.70865652,0.15217391,21.58333333,90.47083857,,,20.70865652,0.70603587
2019-03-12,189.26914708,69.298375,,49.22255516,43.54339135,,26.29003562,22.21934167,0.00416667,25.91666667,113.9487719,,,22.21934167,0.76430257
2019-03-13,95.92036792,63.73005417,,20.62454999,33.88367151,,37.58755714,24.34282917,0.0,30.75,154.179303,,,24.34282917,1.5667555
2019-03-14,116.05595033,66.9973,,11.05068177,44.16015198,,31.1388375,22.88335833,0.0,43.17391304,182.87490456,,,22.88335833,1.78367225
2019-03-15,97.7670105,66.98813333,,16.02131127,50.44418668,,,23.06749583,0.0,47.625,251.420834,,,23.06749583,1.76236417
2019-03-16,125.29195333,66.5174125,,11.06170396,51.68223969,,,23.24538333,0.00416667,54.16666667,267.71219769,,,23.24538333,1.77055846
2019-03-17,31.54681417,63.94885417,,6.12982564,45.3594114,,,23.80779583,0.0,58.125,303.51021615,,,23.80779583,1.83973591
2019-03-18,109.32580136,69.24136364,,17.39841394,63.01821593,,,22.34750455,0.06818182,39.59090909,104.5029416,,,22.34750455,0.99569023
2019-03-19,205.0270875,74.36657083,,35.22394999,56.97912174,,,20.4047875,0.53333333,23.41666667,109.73487804,,,20.4047875,0.44529243
2019-03-20,245.29834167,72.62105417,,43.12009947,50.50565978,,,21.40669583,0.1125,26.25,135.27270039,,,21.40669583,0.72698133
2019-03-21,183.86610958,78.2605625,,54.61018732,49.42686283,,11.72260917,20.22142083,0.5625,25.54166667,86.11780166,,,20.22142083,0.889755
2019-03-22,189.59187917,78.71735417,,60.87247322,51.18645184,,18.07439949,20.05910417,1.10416667,28.0,123.08425792,,,20.05910417,0.93692394
2019-03-23,138.53165875,72.263875,,40.65461575,42.90040392,,24.14824789,21.7350625,0.00416667,26.04347826,146.6094605,,,21.7350625,1.49936523
2019-03-24,138.68399208,77.59102917,,,,,28.34190096,20.41845417,0.7125,26.08333333,110.59903722,,,20.41845417,0.87854896
2019-03-25,198.01035417,77.3676375,,,,,29.028581,20.2609,0.8,21.375,104.21976815,,,20.2609,0.78443061
2019-03-26,138.03856288,74.51139583,,8.18234698,35.66411698,,23.50066454,21.26987917,0.0125,34.58333333,134.26655154,,,21.26987917,1.53614962
2019-03-27,79.04668813,70.35015417,,21.1362542,23.86643068,,32.42928212,22.251,0.0,41.33333333,145.49094542,,,22.251,1.78537543
2019-03-28,72.35833333,70.47583333,,16.70624632,21.526084,,34.840837,22.98636364,0.72916667,39.29166667,135.77142857,,,22.98636364,1.43583333
2019-03-29,159.13333333,74.08375,,,,,32.17586449,21.11363636,0.82916667,19.59090909,110.73666667,,,21.11363636,0.97375
2019-03-30,135.125,69.1875,,,,,33.72906933,22.51666667,0.025,23.0,112.21,,,22.51666667,1.46958333
2019-03-31,91.72916667,67.26,,,,,40.80023873,23.64166667,0.0,22.41666667,127.84409091,,,23.64166667,1.28541667
