Fecha,PM10
2017-09-21,
2017-09-22,66.7
2017-09-23,
2017-09-24,
2017-09-25,44.7
2017-09-26,
2017-09-27,
2017-09-28,52.6
2017-09-29,
2017-09-30,
2017-10-01,32.4
2017-10-02,
2017-10-03,
2017-10-04,41.3
2017-10-05,
2017-10-06,
2017-10-07,
2017-10-08,
2017-10-09,
2017-10-10,50.8
2017-10-11,
2017-10-12,
2017-10-13,38.8
2017-10-14,
2017-10-15,
2017-10-16,29.0
2017-10-17,
2017-10-18,
2017-10-19,61.9
2017-10-20,
2017-10-21,
2017-10-22,25.8
2017-10-23,
2017-10-24,
2017-10-25,58.2
2017-10-26,
2017-10-27,
2017-10-28,36.3
2017-10-29,
2017-10-30,
2017-10-31,45.1
2017-11-01,
2017-11-02,
2017-11-03,36.4
2017-11-04,
2017-11-05,
2017-11-06,27.2
2017-11-07,
2017-11-08,
2017-11-09,
2017-11-10,
2017-11-11,
2017-11-12,34.3
2017-11-13,
2017-11-14,
2017-11-15,33.3
2017-11-16,
2017-11-17,
2017-11-18,24.6
2017-11-19,
2017-11-20,
2017-11-21,46.5
2017-11-22,
2017-11-23,
2017-11-24,22.3
2017-11-25,
2017-11-26,
2017-11-27,42.9
2017-11-28,
2017-11-29,
2017-11-30,59.4
2017-12-01,
2017-12-02,
2017-12-03,32.4
2017-12-04,
2017-12-05,
2017-12-06,49.7
2017-12-07,
2017-12-08,
2017-12-09,27.2
2017-12-10,
2017-12-11,
2017-12-12,27.4
2017-12-13,
2017-12-14,
2017-12-15,47.6
2017-12-16,
2017-12-17,
2017-12-18,46.8
2017-12-19,
2017-12-20,53.4
2017-12-21,
2017-12-22,
2017-12-23,
2017-12-24,45.1
2017-12-25,
2017-12-26,
2017-12-27,31.4
2017-12-28,
2017-12-29,24.0
2017-12-30,
2017-12-31,
2018-01-01,
2018-01-02,
2018-01-03,
2018-01-04,
2018-01-05,
2018-01-06,
2018-01-07,
2018-01-08,
2018-01-09,
2018-01-10,
2018-01-11,
2018-01-12,
2018-01-13,
2018-01-14,
2018-01-15,
2018-01-16,
2018-01-17,
2018-01-18,
2018-01-19,
2018-01-20,
2018-01-21,
2018-01-22,
2018-01-23,
2018-01-24,
2018-01-25,
2018-01-26,
2018-01-27,
2018-01-28,
2018-01-29,
2018-01-30,
2018-01-31,
2018-02-01,63.9
2018-02-02,
2018-02-03,
2018-02-04,19.3
2018-02-05,
2018-02-06,
2018-02-07,57.0
2018-02-08,
2018-02-09,
2018-02-10,61.4
2018-02-11,
2018-02-12,
2018-02-13,51.4
2018-02-14,
2018-02-15,
2018-02-16,66.3
2018-02-17,
2018-02-18,
2018-02-19,46.1
2018-02-20,
2018-02-21,
2018-02-22,68.4
2018-02-23,
2018-02-24,
2018-02-25,44.8
2018-02-26,
2018-02-27,
2018-02-28,57.4
2018-03-01,
2018-03-02,
2018-03-03,52.8
2018-03-04,
2018-03-05,
2018-03-06,77.0
2018-03-07,
2018-03-08,
2018-03-09,43.3
2018-03-10,
2018-03-11,
2018-03-12,46.5
2018-03-13,
2018-03-14,
2018-03-15,68.2
2018-03-16,
2018-03-17,
2018-03-18,
2018-03-19,
2018-03-20,
2018-03-21,78.3
2018-03-22,
2018-03-23,
2018-03-24,51.5
2018-03-25,
2018-03-26,
2018-03-27,
2018-03-28,
2018-03-29,
2018-03-30,
2018-03-31,32.0
2018-04-01,
2018-04-02,
2018-04-03,61.2
2018-04-04,
2018-04-05,
2018-04-06,
2018-04-07,
2018-04-08,42.9
2018-04-09,
2018-04-10,
2018-04-11,43.0
2018-04-12,
2018-04-13,
2018-04-14,46.8
2018-04-15,
2018-04-16,
2018-04-17,65.5
2018-04-18,
2018-04-19,
2018-04-20,58.7
2018-04-21,
2018-04-22,
2018-04-23,37.4
2018-04-24,
2018-04-25,
2018-04-26,42.2
2018-04-27,
2018-04-28,
2018-04-29,20.9
2018-04-30,
2018-05-01,
2018-05-02,36.5
2018-05-03,
2018-05-04,
2018-05-05,47.9
2018-05-06,
2018-05-07,
2018-05-08,42.9
2018-05-09,
2018-05-10,
2018-05-11,53.7
2018-05-12,
2018-05-13,
2018-05-14,18.1
2018-05-15,
2018-05-16,
2018-05-17,47.9
2018-05-18,
2018-05-19,
2018-05-20,19.7
2018-05-21,
2018-05-22,
2018-05-23,36.1
2018-05-24,
2018-05-25,
2018-05-26,37.1
2018-05-27,
2018-05-28,
2018-05-29,42.4
2018-05-30,
2018-05-31,
2018-06-01,32.6
2018-06-02,
2018-06-03,
2018-06-04,16.1
2018-06-05,
2018-06-06,
2018-06-07,38.8
2018-06-08,
2018-06-09,
2018-06-10,19.7
2018-06-11,
2018-06-12,
2018-06-13,37.7
2018-06-14,
2018-06-15,
2018-06-16,21.6
2018-06-17,
2018-06-18,
2018-06-19,43.3
2018-06-20,
2018-06-21,
2018-06-22,36.2
2018-06-23,
2018-06-24,
2018-06-25,28.5
2018-06-26,
2018-06-27,
