Fecha,DViento,HAire10,NO,NO2,P,PLiquida,PM10,PM2.5,VViento
2019-08-21,,,21.64765592,39.59894252,,,,34.42857143,
2019-08-22,,,45.03260726,29.12893989,,,,36.7826087,
2019-08-23,,,37.73082559,27.09428435,,,,34.29166667,
2019-08-24,,,35.59176787,24.42447719,,,,30.375,
2019-08-25,,,21.09639408,16.47579332,,,,17.83333333,
2019-08-26,,,37.38185532,24.24119091,,,,29.0,
2019-08-27,,,64.35743705,21.03416653,,,,28.91666667,
2019-08-28,,,,,,,,36.16666667,
2019-08-29,,,,,,,,37.5,
2019-08-30,,,,,,,,42.66666667,
2019-08-31,,,17.17983552,70.35823719,,,,30.58333333,
2019-09-01,210.625,83.05092361,,,18.57308333,0.13916667,40.29162609,23.66666667,1.54208333
2019-09-02,111.66666667,71.90680556,,,21.62156944,0.01791667,64.39104348,32.65217391,1.54166667
2019-09-03,157.875,70.2581875,,,23.07950695,0.01708333,53.58948636,29.75,1.69208333
2019-09-04,210.83333333,86.4587688,,,20.27017492,0.05666667,66.63144615,33.45833333,1.215
2019-09-05,208.91666667,87.38704861,,,19.95304861,0.1975,58.79044545,26.625,1.52041667
2019-09-06,223.91666667,77.689375,,,22.68827083,0.01208333,37.42147917,32.66666667,1.42458333
2019-09-07,157.58333333,75.36428472,,,21.739,0.015,43.47999167,27.20833333,1.57458333
2019-09-08,176.95833333,59.4759375,,,23.32271528,0.0,57.25516364,24.5,2.145
2019-09-09,216.79166667,68.70997917,,,22.05599306,0.02375,,38.5,2.0175
2019-09-10,217.375,80.55136806,,,19.96867361,0.02541667,50.74049583,28.16666667,2.4725
2019-09-11,215.16666667,86.76603472,,,18.65533333,0.03083333,54.60845833,34.375,1.63625
2019-09-12,153.26086957,74.83284174,,,21.61045249,0.0,54.5856375,30.79166667,1.41695652
2019-09-13,,,,,,,,32.91666667,
2019-09-14,,,,,,,,23.33333333,
2019-09-15,,,,,,,,25.0,
2019-09-16,,,,,,,,27.79166667,
2019-09-17,,,,,,,,26.33333333,
2019-09-18,,,,,,,,25.66666667,
2019-09-19,,,,,,,,20.47826087,
2019-09-20,,,70.49256563,49.60947529,,,,36.59090909,
2019-09-21,,,33.77631304,26.29508943,,,,24.66666667,
2019-09-22,,,21.16058421,15.18007302,,,,26.95833333,
2019-09-23,,,42.75998748,31.19376836,,,,28.5,
2019-09-24,,,49.45711154,40.03113172,,,,33.29166667,
2019-09-25,,,,,,,,,
2019-09-26,,,40.49655086,30.54335397,,,,27.875,
