Fecha,DViento,HAire10,O3,P,PLiquida,RGlobal,TAire10,TMPR_AIR_10CM,VViento
2021-02-11,230.15553492,72.2435625,27.15656042,21.40227083,0.00208333,,,21.40227083,1.1111856
2021-02-12,216.82041232,72.56828472,18.84357031,21.09705556,0.02125,,,21.09705556,0.98461169
2021-02-13,225.40294858,80.56631944,17.19152516,20.35655556,0.23625,,,20.35655556,0.94925337
2021-02-14,204.76777352,80.737625,14.02789214,20.64048611,0.01583333,,,20.64048611,1.24220583
2021-02-15,223.40689679,71.61327778,24.67143268,21.99997917,0.0,,,21.99997917,0.8792518
2021-02-16,214.5269818,70.7723125,25.28453985,21.33563194,0.02291667,,,21.33563194,1.2721054
2021-02-17,234.10659011,72.50617361,26.96854089,20.85959722,0.03041667,,,20.85959722,1.11837227
2021-02-18,213.84238378,85.13472917,20.86199344,19.57254861,0.14833333,,,19.57254861,0.8621889
2021-02-19,195.7923629,80.91606944,24.82675316,19.550875,0.12541667,,,19.550875,1.02789719
2021-02-20,174.46299492,76.30722222,20.69032343,20.16690972,0.18666667,,,20.16690972,1.03731961
2021-02-21,220.09141459,80.14954861,21.73669301,19.78623611,0.04708333,,,19.78623611,0.90631031
2021-02-22,185.47254408,72.98815278,29.55994055,21.2938125,0.01208333,,,21.2938125,0.96004088
2021-02-23,170.51180226,75.72232639,22.70131496,21.17163889,0.04,,,21.17163889,0.95448857
2021-02-24,143.65565372,70.63961111,22.47242161,22.91002778,0.0,,,22.91002778,1.44778607
2021-02-25,176.2107065,72.87264583,19.90554625,22.961125,0.00791667,,,22.961125,1.14332802
2021-02-26,209.69664413,75.20416667,20.49412913,22.4460625,0.08791667,,,22.4460625,1.19498938
2021-02-27,188.13263791,79.73677083,15.86721366,20.81998611,0.0825,,,20.81998611,1.21424267
2021-02-28,210.28937845,78.97082624,21.34343476,20.68324114,0.07255319,,,20.68324114,0.98746605
2021-03-01,219.16666667,79.00134722,25.14556889,20.54236806,0.17958333,,,20.54236806,1.04583333
2021-03-02,226.125,81.22352083,27.7042695,19.76891667,0.17583333,,,19.76891667,1.1775
2021-03-03,187.16666667,72.90892361,27.33640519,20.56054167,0.00416667,,,20.56054167,1.20333333
2021-03-04,156.16666667,73.35697222,35.68283752,21.14026389,0.05125,,,21.14026389,1.16208333
2021-03-05,195.91666667,75.08945833,28.0067357,20.39357639,0.02583333,,,20.39357639,1.28875
2021-03-06,177.5,75.67313194,29.17572672,21.68225694,0.02333333,,,21.68225694,1.0925
2021-03-07,128.45833333,77.95702083,28.38277477,21.6763125,0.11916667,,,21.6763125,1.15458333
2021-03-08,190.54166667,80.92027083,15.09061124,20.66655556,0.12916667,,,20.66655556,0.98958333
2021-03-09,159.08333333,77.53820139,16.30047606,21.13540972,0.03,,,21.13540972,1.23125
2021-03-10,210.45833333,80.29077778,14.33035835,20.06834028,0.06708333,,,20.06834028,1.21041667
2021-03-11,234.16666667,84.66209028,13.04692066,19.27502083,0.30791667,,,19.27502083,1.14625
2021-03-12,231.20833333,89.86052778,11.65572475,17.71501389,0.07125,,,17.71501389,0.94708333
2021-03-13,169.95833333,78.9204375,20.89469249,19.82263195,0.03333333,,,19.82263195,0.91958333
2021-03-14,237.08333333,83.00702778,24.16459741,19.38636111,0.05625,,,19.38636111,0.92916667
2021-03-15,195.54166667,82.95109722,20.37968246,19.41421528,0.34458333,,,19.41421528,1.06083333
2021-03-16,212.0,86.93141667,19.02267192,18.92817361,0.08958333,,,18.92817361,0.82125
2021-03-17,203.20833333,82.41850694,21.92471254,19.79685417,0.28583333,,,19.79685417,1.09208333
2021-03-18,212.91666667,88.70845139,13.7336007,18.70841667,0.36166667,,,18.70841667,0.8825
