Fecha,CO,DViento,HAire10,HAire2,O3,P,PLiquida,PM10,PM2.5,RGlobal,TAire10,TAire2,VViento
2012-10-08,,,,,28.73841767,,0.25,34.8,,244.69166667,,18.00416667,
2012-10-09,,,,,50.1211689,,0.0,37.22222222,,250.25833333,,20.2125,
2012-10-10,,,,,54.90312964,,0.02083333,26.4,,204.7875,,20.0625,
2012-10-11,,,,,56.10833925,,0.14583333,30.3,,165.74583333,,18.77916667,
2012-10-12,,,,,41.14041338,,0.54166667,36.71428571,,191.66666667,,18.91666667,
2012-10-13,,,,,49.18032785,,0.91666667,33.92307692,,,,17.89166667,
2012-10-14,,,,,37.54811118,,0.39583333,35.21428571,,,,17.875,
2012-10-15,,,,,28.82394867,,0.0625,30.8,,,,17.925,
2012-10-16,,,,,21.12615822,,1.125,20.77272727,,,,17.22083333,
2012-10-17,,,,,35.92302208,,1.125,22.92857143,,,,18.0375,
2012-10-18,,,,,21.81040626,,0.29166667,23.95454545,,,,17.0375,
2012-10-19,,,,,16.76407697,,0.02083333,33.44444444,,,,18.275,
2012-10-20,,,,,7.27013542,,0.04166667,38.54545455,,,,19.22083333,
2012-10-21,,,,,6.58588738,,2.125,19.85,,,,18.84166667,
2012-10-22,,,,,6.24376336,,0.02083333,25.0,,,,18.69166667,
2012-10-23,,,,,6.58588738,,0.0,,,,,19.4125,
2012-10-24,,,,,6.15823236,,0.70833333,,,,,19.22916667,
2012-10-25,,,,,27.88310762,,1.04166667,27.72727273,,,,18.80833333,
2012-10-26,,,,,46.35780469,,0.0,34.45833333,,,,19.2,
2012-10-27,,,,,43.53528152,,0.04166667,30.95454545,,,,20.3625,
2012-10-28,,,,,49.18032785,,0.0,31.41666667,,,,20.6375,
2012-10-29,,,,,45.58802564,,0.3125,35.66666667,,,,19.67083333,
2012-10-30,,,,,37.8902352,,0.58333333,44.33333333,,,,18.15,
2012-10-31,,,,,36.69280113,,0.375,41.41666667,,,,18.73333333,
2012-11-01,,,,75.17826087,44.44113262,,0.26086957,43.4,,,,18.65652174,
2012-11-02,,,,73.13333333,39.17320027,,0.0,36.20833333,,,,19.6,
2012-11-03,,,,66.10416667,53.5424091,,0.0,27.45833333,,,,20.4625,
2012-11-04,,,,69.1625,50.29223091,,0.125,29.34782609,,,,20.74166667,
2012-11-05,,,,75.85,40.02851032,,0.25,22.54545455,,,,18.49583333,
2012-11-06,,,,71.775,37.71917319,,0.0,43.54166667,,,,19.39166667,
2012-11-07,,,,69.76666667,42.76550248,,0.1875,43.7826087,,160.70833333,,20.06666667,
2012-11-08,,,,67.74583333,41.91019243,,0.04166667,33.30434783,,214.76666667,,20.04166667,
2012-11-09,,,,73.30833333,34.98218103,,0.02083333,44.66666667,,189.0,,20.06666667,
2012-11-10,,,,70.76666667,44.73271559,,0.0,40.70833333,,230.50833333,,20.20833333,
2012-11-11,,,,77.975,26.00142551,,0.0625,38.0,,105.49166667,,19.0,
2012-11-12,,,,75.07083333,33.61368495,,0.0,39.86956522,,153.08333333,,18.91666667,
2012-11-13,,,,79.39583333,35.06771203,,1.79166667,50.86363636,,,,18.6,
2012-11-14,,,,89.9,7.86885246,,0.0,58.0,,,,15.9,
2012-11-15,,,,74.59333333,30.49180327,,0.03333333,50.26666667,,,,19.34,
2012-11-16,,,,75.47083333,38.48895223,,0.1875,46.45833333,,,,19.06666667,
2012-11-17,,,,80.82916667,21.72487526,,1.58333333,37.52173913,,,,18.30833333,
2012-11-18,,,,85.25833333,23.34996435,,1.45833333,32.47826087,,,,16.95833333,
2012-11-19,,,,72.0375,49.09479685,,0.0,47.41666667,,,,19.75833333,
2012-11-20,,,,73.10833333,45.75908765,,0.0,48.59090909,,,,20.74166667,
2012-11-21,,,,79.0,30.96222379,,0.04166667,54.54166667,,,,19.0,
2012-11-22,,,,79.89583333,27.88310762,,0.3125,45.75,,,,18.75416667,
2012-11-23,,,,78.8875,35.06771203,,0.91666667,46.14285714,,,,19.27083333,
2012-11-24,,,,72.65,50.54882393,,0.4375,39.22727273,,,,20.275,
2012-11-25,,,,68.425,51.23307197,,0.0,33.13043478,,,,20.66666667,
2012-11-26,,,,69.46666667,47.55523876,,0.04166667,38.08333333,,,,20.74166667,
2012-11-27,,,,69.00416667,44.30506057,,0.04166667,31.30434783,,,,20.5,
2012-11-28,,,,73.23333333,36.2651461,,0.04166667,40.20833333,,,,20.125,
2012-11-29,,,,81.00833333,33.35709193,,1.125,34.57142857,,,,18.75,
2012-11-30,,,,79.80416667,22.23806129,,0.29166667,31.38095238,,,,17.91666667,
2012-12-01,,,,79.74166667,22.10121168,,0.33333333,39.15789474,,,,17.85,
2012-12-02,,,,78.32916667,26.13827511,,0.58333333,32.65217391,,,,18.19166667,
2012-12-03,,,,78.28333333,27.20741268,,0.10416667,33.15,,,,18.1875,
2012-12-04,,,,70.10833333,47.03349963,,0.0,36.7826087,,,,19.53333333,
2012-12-05,,,,73.4625,29.95295794,,0.04166667,37.73913043,,,,19.1,
2012-12-06,,,,70.61666667,48.256593,,0.33333333,43.26086957,,,,19.83333333,
2012-12-07,,,,68.425,55.43264431,,0.0,38.47826087,,195.86666667,,20.38333333,
2012-12-08,,,,66.525,37.73627939,,0.0,34.54545455,,225.98333333,,20.58333333,
2012-12-09,,,,64.46666667,40.63578045,,0.0,39.57142857,,162.1125,,20.85833333,
2012-12-10,,,,62.3,41.91019243,,0.0,31.60869565,,254.13333333,,21.34583333,
2012-12-11,,,,73.10833333,39.36136848,,0.16666667,45.125,,112.27916667,,19.62916667,
2012-12-12,,,,72.7125,36.96650034,,0.02083333,48.75,,197.1875,,19.62083333,
2012-12-13,,,,72.92916667,41.29436919,,0.04166667,40.95454545,,,,19.2625,
2012-12-14,,,,75.66666667,31.32145402,,0.45833333,32.34782609,,,,18.1,
2012-12-15,,,,74.00833333,41.60228081,,0.47916667,33.91304348,,,,18.55416667,
2012-12-16,,,,72.77083333,44.46756948,,0.10416667,34.7826087,,,,19.02916667,
2012-12-17,,,,75.2125,28.96079828,,0.02083333,39.2173913,,,,18.4625,
2012-12-18,,,,72.73333333,47.40046837,,0.3125,47.34782609,,,,17.74583333,
2012-12-19,,,,73.375,45.19458302,,0.02083333,56.0,,,,19.54583333,
