Fecha,DViento,HAire10,HAire2,NO,NO2,NOx,P,PLiquida,PM2.5,RGlobal,SO2,TAire10,TAire2,VViento
2012-11-16,,,72.61666667,13.79166667,9.16666667,,,,,,,,21.0325,
2012-11-17,,,78.10833333,21.75,8.33333333,,,,,,,,20.18875,
2012-11-18,,,87.8,25.0,9.0,,,,,,,,18.404,
2012-11-19,,,62.74285714,7.64285714,7.71428571,,,,,,,,23.69071429,
2012-11-20,,,70.3,8.625,6.70833333,,,,,,,,22.52375,
2012-11-21,,,75.9,17.25,15.5,,,,,,,,21.19166667,
2012-11-22,,,77.16666667,29.625,15.5,,,,,,,,20.51666667,
2012-11-23,,,75.35,19.95833333,11.58333333,,,,,,,,21.34708333,
2012-11-24,,,69.3875,18.8125,9.6875,,,,,,,,22.45,
2012-11-25,,,63.88333333,8.33333333,3.75,,,,,,,,23.20388889,
2012-11-26,,,,,,,,,,,,,,
2012-11-27,,,,,,,,,,,,,,
2012-11-28,,,,,,,,,,,,,,
2012-11-29,,,,,,,,,,,,,,
2012-11-30,,,70.44285714,28.78571429,12.07142857,,,,,,,,21.24785714,
2012-12-01,,,76.80416667,39.83333333,10.41666667,,,,,,,,19.75458333,
2012-12-02,,,75.075,21.83333333,7.45833333,,,,,,,,20.13416667,
2012-12-03,,,75.6375,17.08333333,6.70833333,,,,,,,,20.245,
2012-12-04,,,65.87916667,11.16666667,5.16666667,,,,,,,,21.72125,
2012-12-05,,,70.09166667,19.75,8.25,,,,,,,,20.91083333,
2012-12-06,,,69.05,10.20833333,7.5,,,,,,,,21.35958333,
2012-12-07,,,66.58,12.46666667,6.2,,,,,,,,21.638,
2012-12-08,,,,,,,,,,,,,,
2012-12-09,,,,,,,,,,,,,,
2012-12-10,,,,,,,,,,,,,,
2012-12-11,,,,,,,,,,,,,,
2012-12-12,,,65.76153846,14.07692308,16.0,,,,,,,,22.74923077,
2012-12-13,,,69.825,11.70833333,12.625,,,,,,,,21.29458333,
2012-12-14,,,69.75416667,27.375,12.875,,,,,,,,20.75208333,
2012-12-15,,,70.38571429,16.52380952,7.23809524,,,,,,,,20.80571429,
2012-12-16,,,70.67916667,20.25,4.83333333,,,,,,,,20.97041667,
2012-12-17,,,67.97916667,11.5,9.0,,,,,,,,20.79625,
2012-12-18,,,68.81666667,11.41666667,15.54166667,,,,,,,,19.98166667,
2012-12-19,,,69.02083333,10.41666667,11.33333333,,,,,,,,21.4325,
2012-12-20,,,68.83333333,10.875,12.08333333,,,,,,,,22.12041667,
2012-12-21,,,69.17916667,11.16666667,9.625,,,,,,,,22.13541667,
2012-12-22,,,68.71176471,15.70588235,7.88235294,,,,,,,,22.31470588,
2012-12-23,,,,,,,,,,,,,,
2012-12-24,,,61.40714286,10.0,9.14285714,,,,,,,,22.62571429,
2012-12-25,,,68.54166667,4.58333333,1.83333333,,,,,,,,21.96541667,
2012-12-26,,,69.82916667,10.5,4.79166667,,,,,,,,21.86583333,
2012-12-27,,,63.34583333,9.79166667,4.54166667,,,,,,,,22.8775,
2012-12-28,,,59.59583333,13.58333333,7.75,,,,,,,,22.81375,
2012-12-29,,,62.7875,9.5,5.625,,,,,,,,22.96458333,
2012-12-30,,,81.61666667,10.66666667,4.83333333,,,,,,,,19.11666667,
2012-12-31,,,,,,,,,,,,,,
2013-01-01,,,,,,,,,,,,,,
2013-01-02,,,44.30833333,4.58333333,3.33333333,,,,,,,,25.41333333,
2013-01-03,,,62.1625,8.54166667,4.83333333,,,,,,,,22.9275,
2013-01-04,,,61.56666667,6.58333333,4.5,24.30663483,,,,,,24.322825,23.08583333,
2013-01-05,,,58.48333333,5.875,3.79166667,22.04923638,,,,,,20.78655083,23.75041667,
2013-01-06,,,59.47647059,4.64705882,1.23529412,41.36998383,,,,,,20.63572208,23.19823529,
2013-01-07,,,,,,8.90970142,,,,,,20.06732667,,
2013-01-08,,,37.04,9.33333333,5.93333333,18.16914024,,,,,,21.68240208,25.624,
2013-01-09,,,51.45416667,15.91666667,9.375,11.64319988,,,,,,22.17020292,23.00916667,
2013-01-10,,,54.34583333,13.375,8.08333333,40.94283212,,,,,,20.03073012,23.6475,
2013-01-11,,,52.79166667,10.95833333,7.79166667,27.65076716,,,,,,20.6897604,23.69791667,
2013-01-12,,,60.77083333,14.79166667,9.79166667,69.92805,,,,,,18.79597,22.57208333,
2013-01-13,,,67.7625,4.125,5.45833333,,,,,,,,21.37166667,
2013-01-14,,,67.43333333,5.125,7.25,,,,,,,,21.85666667,
2013-01-15,,,73.93846154,7.69230769,8.07692308,,,,,,,,20.01923077,
2013-01-16,,,,,,,,,,,,,,
2013-01-17,,,,,,,,,,,,,,
2013-01-18,,,56.70769231,3.92307692,6.07692308,,,,,,,,24.08076923,
2013-01-19,,,64.44583333,4.36363636,6.5,,,,,,,,22.09083333,
2013-01-20,,,70.5375,3.04166667,1.66666667,,,,,,,,21.59416667,
2013-01-21,,,70.71666667,10.54166667,11.875,,,,,,,,22.14958333,
2013-01-22,,,71.92173913,11.13043478,14.52173913,,,,,,,,22.04913043,
2013-01-23,,,65.1,7.47058824,10.35294118,,,,,,,,23.01444444,
2013-01-24,,,68.34583333,10.375,6.20833333,,,,,,,,22.22875,
2013-01-25,,,68.67083333,13.70833333,12.0,,,,,,,,21.36125,
2013-01-26,,,67.17916667,17.75,10.66666667,,,,,,,,21.48291667,
2013-01-27,,,62.4875,4.58333333,2.875,,,,,,,,23.42666667,
2013-01-28,,,57.66666667,6.95833333,5.125,,,,,,,,24.29208333,
2013-01-29,,,63.73333333,7.5,7.5,,,,,,,,23.41666667,
2013-01-30,,,80.06666667,8.19,78.83166667,,,,,,,,20.73666667,
2013-01-31,,,,6.78916667,6.35130435,,,,,,,,,
2013-02-01,,,,21.45454545,13.22727273,,,,,,,,,
2013-02-02,,,,19.25,20.20833333,,,,,,,,,
2013-02-03,,,,26.0,9.29166667,,,,,,,,,
2013-02-04,,,63.65333333,26.45833333,13.91666667,22.8862815,,,,,,22.45693833,22.702,
2013-02-05,,,77.17083333,31.33333333,21.625,38.6234988,,,,,,20.5692825,20.28333333,
2013-02-06,,,72.47058824,22.66666667,18.25,23.65168379,,,,,,22.82117417,20.98294118,
2013-02-07,,,,11.33333333,10.16666667,28.61951967,,,,,,21.64850708,,
2013-02-08,,,,17.375,14.5,15.52516111,,,,,,21.42072,,
2013-02-09,,,,11.33333333,7.95833333,18.60692738,,,,,,22.1450575,,
2013-02-10,,,,4.33333333,4.45833333,38.496725,,,,,,21.13076667,,
2013-02-11,,,72.88,27.08333333,13.66666667,21.17713517,,,,,,21.40942792,20.801,
2013-02-12,,,72.74761905,13.52173913,10.86956522,,,,,,,,19.88904762,
2013-02-13,,,67.69583333,26.16666667,14.95833333,,,,,,,,20.735,
2013-02-14,,,72.2625,15.375,18.5,,,,,,,,20.2875,
2013-02-15,,,67.62916667,14.375,16.58333333,,,,,,,,20.98458333,
2013-02-16,,,64.89583333,9.125,11.0,,,,,,,,22.34916667,
2013-02-17,,,75.07083333,5.45833333,6.16666667,,,,,,,,20.14208333,
2013-02-18,,,62.91666667,15.54166667,9.45833333,,,,,,,,22.12375,
2013-02-19,,,59.97083333,10.66666667,8.66666667,,,,,,,,23.35083333,
