Fecha,DViento,HAire10,P,PLiquida,PM2.5,VViento
2019-10-20,92.13043478,87.88891123,13.4271082,0.02833333,4.175,2.68608696
2019-10-21,124.9,93.91278602,12.80106732,0.03958333,9.45416667,1.5835
2019-10-22,151.59090909,93.3094372,13.19249477,0.51041667,6.0,1.46454545
2019-10-23,166.22727273,91.74662309,13.04218911,0.5525,8.43333333,2.17636364
2019-10-24,178.0,97.80644589,12.36572336,0.7275,6.92608696,1.916
2019-10-25,78.52380952,96.17622882,13.44451095,0.25875,6.73333333,2.41904762
2019-10-26,98.75,89.08000179,14.24074046,0.19375,7.20454545,2.69791667
2019-10-27,103.81818182,87.35925091,13.65356491,0.77458333,4.05294118,3.15363636
2019-10-28,92.04545455,79.86883033,15.16032568,0.03708333,6.50909091,2.85818182
2019-10-29,88.52380952,85.848291,14.45383418,0.22041667,4.76818182,2.71190476
2019-10-30,89.91304348,85.34225631,13.67101879,0.38208333,4.82,2.92
2019-10-31,82.90909091,82.98943351,14.00381544,0.67041667,7.63809524,3.09772727
2019-11-01,161.66666667,88.50972982,13.80617361,0.07125,7.35,1.865
2019-11-02,103.45833333,93.32486801,13.63516667,0.00458333,8.50833333,2.49916667
2019-11-03,75.91666667,94.0428873,13.59409028,0.00625,8.0826087,2.52625
2019-11-04,85.33333333,88.85300649,14.16016667,0.00916667,5.67272727,2.66833333
2019-11-05,83.66666667,89.47246411,14.06507639,0.06458333,6.63333333,2.68875
2019-11-06,83.45833333,79.41375997,14.62125,0.0,6.20454545,3.00833333
2019-11-07,81.86956522,78.9737134,14.8174949,0.0,7.21304348,3.01695652
2019-11-08,98.45833333,89.29264453,14.53791667,0.21208333,9.38181818,2.73666667
2019-11-09,184.375,93.27717514,12.97170386,0.05625,6.5375,2.00666667
2019-11-10,76.04166667,93.99186708,13.47763195,0.26916667,9.66521739,2.08875
2019-11-11,105.70833333,94.52312434,13.93824306,0.30833333,8.25833333,2.48708333
2019-11-12,196.83333333,98.64213472,12.89510349,0.65333333,7.34444444,1.95666667
2019-11-13,194.66666667,97.61994753,12.50654167,0.18,6.3,1.835
2019-11-14,158.70833333,98.34902771,12.81716137,0.21666667,10.19565217,1.3025
2019-11-15,134.33333333,93.8550011,13.05585417,0.05833333,7.82173913,1.99708333
2019-11-16,151.85714286,91.41568493,13.60494406,0.01375,10.54545455,1.72190476
2019-11-17,154.41666667,93.10744199,13.80072917,0.98875,8.7,1.94875
2019-11-18,113.875,89.42650884,13.90701389,0.04833333,8.00526316,1.79208333
2019-11-19,108.66666667,96.60702983,13.22867361,0.445,7.00869565,1.39333333
2019-11-20,103.125,94.15364744,13.27965278,0.06125,6.52272727,2.50708333
2019-11-21,86.0,92.17100202,13.18169444,0.27583333,5.94166667,2.33458333
2019-11-22,135.95833333,92.81764086,12.63993056,0.45125,9.36086957,2.23083333
2019-11-23,91.66666667,91.19780952,12.9031875,0.20125,13.37083333,2.68208333
2019-11-24,74.20833333,90.96181923,13.29600694,0.0,9.55833333,2.86708333
2019-11-25,82.25,89.34381746,14.53307639,0.00041667,10.1,3.36791667
2019-11-26,76.83333333,91.11673333,14.78394421,0.04041667,8.19166667,3.9475
2019-11-27,79.20833333,80.55866064,15.12701389,0.03666667,7.72083333,2.84958333
2019-11-28,94.55,86.14023783,14.89235748,0.51,5.63043478,2.6565
2019-11-29,127.76190476,96.42461908,13.58907269,0.25291667,10.15217391,1.62952381
2019-11-30,67.875,91.93508794,13.38752083,0.0,6.17826087,2.87666667
2019-12-01,77.5,86.09297619,14.53220139,0.0,5.09130435,3.37
2019-12-02,85.54166667,84.45592296,14.3525625,0.0,7.25217391,3.46208333
2019-12-03,80.79166667,83.32516667,14.30888889,0.0,8.37916667,2.07708333
2019-12-04,87.95833333,88.40250421,14.28711806,0.0,9.91666667,2.37541667
2019-12-05,72.5,83.44715495,14.72434722,0.01708333,6.95416667,3.05916667
2019-12-06,86.125,90.08682568,14.52,0.01291667,8.17083333,2.6825
2019-12-07,140.58333333,93.75036149,12.98550694,0.0,14.55833333,1.82916667
2019-12-08,121.75,91.8993215,12.56468056,0.0,9.4625,2.27916667
2019-12-09,70.41666667,83.11464445,13.64461111,0.0,6.9,3.39875
2019-12-10,111.25,89.67564081,14.06461111,0.00083333,12.3875,2.335
2019-12-11,118.5,95.30098988,13.1456875,0.39166667,12.2875,2.36416667
2019-12-12,73.5,90.38236956,13.02329167,0.10041667,10.4125,2.22708333
2019-12-13,164.54166667,96.90872143,12.75835417,0.03041667,18.2375,1.78958333
2019-12-14,124.04166667,98.18278571,12.64782639,0.88208333,13.66363636,1.76916667
2019-12-15,70.16666667,93.90852619,13.28432639,0.03625,7.33636364,2.83291667
2019-12-16,82.16666667,89.55612913,14.20130556,0.00291667,7.18095238,2.755
2019-12-17,117.875,90.15558734,13.99228472,0.0,11.9,1.62541667
2019-12-18,127.54166667,90.10476799,14.24513889,0.0,11.03043478,1.76625
2019-12-19,75.27272727,88.95743965,14.29598086,0.03583333,7.65,3.40136364
2019-12-20,81.08333333,86.42547319,14.52955744,0.00708333,7.27727273,2.90166667
2019-12-21,87.88888889,87.89887305,14.59713657,0.0,6.80625,2.86611111
2019-12-22,80.66666667,87.04743137,14.86957639,0.0,6.9875,2.95666667
2019-12-23,77.33333333,86.13206304,14.37283333,0.0,6.12272727,3.84375
2019-12-24,83.41666667,81.14693112,15.17649306,0.0,7.33333333,3.36708333
