Fecha,CO,DViento,HAire2,O3,PLiquida,PM10,PM2.5,RGlobal,TAire2,VViento
2009-06-05,1.41471645,,,12.98826322,,29.875,29.41666667,,,
2009-06-06,0.68389312,,,13.28444287,,43.25,27.25,,,
2009-06-07,1.27095525,,,11.3783897,,28.83333333,26.5,,,
2009-06-08,0.95336247,,,16.87605619,,37.90909091,25.39130435,,,
2009-06-09,0.86627389,,,19.75120774,,45.16666667,19.5,,,
2009-06-10,0.39715294,,,19.32157087,,25.79166667,34.75,,,
2009-06-11,0.66660603,,,6.23834504,,57.41666667,25.33333333,,,
2009-06-12,0.42017709,,,20.30818757,,80.20833333,22.16666667,,,
2009-06-13,,,,,,52.08333333,,,,
2009-06-14,,,,,,40.375,,,,
2009-06-15,,,,,,37.83333333,,,,
2009-06-16,,,,,,62.5,,,,
2009-06-17,,,,,,58.95833333,,,,
2009-06-18,,,,,,51.125,,,,
