Fecha,DViento,HAire10,HAire2,P,PLiquida,PM10,PST,RGlobal,TAire10,TAire2,TMPR_AIR_10CM,VViento
2008-12-11,,,,,,59.39764213,,,,,,
2008-12-12,,,,,,50.86080896,,,,,,
2008-12-13,,,,,,37.86732058,,,,,,
2008-12-14,,,,,,33.08506479,65.99687822,,,,,
2008-12-15,,,,,,38.99674579,,,,,,
2008-12-16,,,,,,49.9959335,,,,,,
2008-12-17,,,,,,52.53570335,,,,,,
2008-12-18,,,,,,62.01704474,,,,,,
2008-12-19,,,,,,49.51770713,,,,,,
2008-12-20,,,,,,50.07733229,,,,,,
2008-12-21,,,,,,35.46601758,,,,,,
2008-12-22,,,,,,38.64062142,,,,,,
2008-12-23,,,,,,39.200245,86.43394848,,,,,
2008-12-24,,,,,,,,,,,,
2008-12-25,,,,,,,,,,,,
2008-12-26,,,,,,35.51398586,79.06998258,,,,,
2008-12-27,,,,,,39.05779696,,,,,,
2008-12-28,,,,,,32.90191483,,,,,,
2008-12-29,,,,,,32.87138996,,,,,,
2008-12-30,,,,,,40.61457258,,,,,,
2008-12-31,,,,,,25.76923225,,,,,,
2009-01-01,,,,,,32.0777385,46.0681661,,,,,
2009-01-02,,,,,,33.41066521,,,,,,
2009-01-03,,,,,,29.08186178,,,,,,
2009-01-04,,,,,,22.218153,41.24694073,,,,,
2009-01-05,,,,,,41.92714954,,,,,,
2009-01-06,,,,,,83.47171567,,,,,,
2009-01-07,,,,,,46.79080467,88.5694201,,,,,
2009-01-08,,,,,,61.08669388,,,,,,
2009-01-09,,,,,,59.06186575,,,,,,
2009-01-10,,,,,,45.67155421,78.28180664,,,,,
2009-01-11,,,,,,36.61579379,,,,,,
2009-01-12,,,,,,35.43549304,,,,,,
2009-01-13,,,,,,41.72364971,80.26756768,,,,,
2009-01-14,,,,,,51.43060913,,,,,,
2009-01-15,,,,,,65.29914846,,,,,,
2009-01-16,,,,,,53.68946154,83.06213493,,,,,
2009-01-17,,,,,,44.17582621,,,,,,
2009-01-18,,,,,,47.6455045,,,,,,
2009-01-19,,,,,,42.8429005,,,,,,
2009-01-20,,,,,,37.56206913,,,,,,
2009-01-21,,,,,,47.19780475,,,,,,
2009-01-22,,,,,,43.15832642,78.80732077,,,,,
2009-01-23,,,,,,48.5103805,,,,,,
2009-01-24,,,,,,39.59707167,,,,,,
2009-01-25,,,,,,76.54164848,71.81736135,,,,,
2009-01-26,,,,,,48.86650629,,,,,,
2009-01-27,,,,,,53.79799611,,,,,,
2009-01-28,,,,,,51.66882559,43.03536719,,,,,
2009-01-29,,,,,,59.18803785,,,,,,
2009-01-30,,,,,,38.16239617,,,,,,
2009-01-31,,,,,,45.74277808,,,,,,
2009-02-01,,,,,,36.05616779,,,,,,
2009-02-02,,,,,,42.39520017,,,,,,
2009-02-03,,,,,,44.09442633,90.80126737,,,,,
2009-02-04,,,,,,34.356941,,,,,,
2009-02-05,,,,,,44.91860229,,,,,,
2009-02-06,,,,,,45.92592817,,,,,,
2009-02-07,,,,,,42.75132471,,,,,,
2009-02-08,,,,,,41.50997425,,,,,,
2009-02-09,,,,,,39.30199704,70.43050445,,,,,
2009-02-10,,,,,,45.21367783,,,,,,
2009-02-11,,,,,,41.04192346,,,,,,
2009-02-12,,,,,,34.59096633,62.1032249,,,,,
2009-02-13,,,,,,43.88656419,,,,,,
2009-02-14,,,,,,88.06064525,,,,,,
2009-02-15,,,,,,40.31949833,68.33038238,,,,,
2009-02-16,,,,,,43.99267696,,,,,,
2009-02-17,,,,,,95.95645438,,,,,,
2009-02-18,,,,,,66.39804963,,,,,,
2009-02-19,,,,,,56.65038958,,,,,,
2009-02-20,,,,,,88.15221971,,,,,,
2009-02-21,,,,,,90.62474867,87.44429414,,,,,
2009-02-22,,,,,,41.30647496,,,,,,
2009-02-23,,,,,,52.83475963,,,,,,
2009-02-24,,,,,,59.89621879,,,,,,
2009-02-25,,,,,,50.54538367,,,,,,
2009-02-26,,,,,,52.96703525,,,,,,
2009-02-27,,,,,,57.63736504,,,,,,
2009-02-28,,,,,,52.59637393,,,,,,
2009-03-01,,,,,,,,,,,,
2009-03-02,,,,,,,67.07578202,,,,,
2009-03-03,,,,,,,,,,,,
2009-03-04,,,,,,,,,,,,
2009-03-05,,,,,,,85.09558807,,,,,
2009-03-06,,,,,,,,,,,,
2009-03-07,,,,,,,,,,,,
2009-03-08,,,,,,,97.10116309,,,,,
2009-03-09,,,,,,,,,,,,
2009-03-10,,,,,,,,,,,,
2009-03-11,,,,,,,,,,,,
2009-03-12,,,,,,,,,,,,
2009-03-13,,,,,,,,,,,,
2009-03-14,,,,,,,,,,,,
2009-03-15,,,,,,,,,,,,
2009-03-16,,,,,,,,,,,,
2009-03-17,,,,,,,77.69411685,,,,,
2009-03-18,,,,,,,,,,,,
2009-03-19,,,,,,,,,,,,
2009-03-20,,,,,,,80.94785231,,,,,
2009-03-21,,,,,,,,,,,,
2009-03-22,,,,,,,,,,,,
2009-03-23,,,,,,,46.68637827,,,,,
2009-03-24,,,,,,,,,,,,
2009-03-25,,,,,,,,,,,,
2009-03-26,,,,,,,81.7670359,,,,,
2009-03-27,,,,,,,,,,,,
2009-03-28,,,,,,,,,,,,
2009-03-29,,,,,,,79.56960411,,,,,
2009-03-30,,,,,,,,,,,,
2009-03-31,,,,,,,,,,,,
2009-04-01,,,,,,,68.92809932,,,,,
2009-04-02,,,,,,,,,,,,
2009-04-03,,,,,,,,,,,,
2009-04-04,,,,,,,84.14666507,,,,,
2009-04-05,,,,,,,,,,,,
2009-04-06,,,,,,,,,,,,
2009-04-07,,,,,,,,,,,,
2009-04-08,,,,,,,,,,,,
2009-04-09,,,,,,47.72690592,,,,,,
2009-04-10,,,,,,34.36711704,62.3767439,,,,,
2009-04-11,,,,,,26.91900858,,,,,,
2009-04-12,,,,,,29.5441615,,,,,,
2009-04-13,,,,,,47.41147996,88.60166742,,,,,
2009-04-14,,,,,,42.96500117,,,,,,
2009-04-15,,,,,,49.12088267,,,,,,
2009-04-16,,,,,,45.44770375,84.62247667,,,,,
2009-04-17,,,,,,89.52584725,,,,,,
2009-04-18,,,,,,37.002445,,,,,,
2009-04-19,,,,,,35.4660175,72.38291165,,,,,
2009-04-20,,,,,,38.72202108,,,,,,
2009-04-21,,,,,,35.17094238,,,,,,
2009-04-22,,,,,,45.915754,88.63176044,,,,,
2009-04-23,,,,,,31.70126358,,,,,,
2009-04-24,,,,,,50.99163076,,,,,,
2009-04-25,,,,,,52.81440983,91.479689,,,,,
2009-04-26,,,,,,77.37688358,,,,,,
2009-04-27,,,,,,52.47586027,,,,,,
2009-04-28,,,,,,63.05047067,,,,,,
2009-04-29,,,,,,79.04558658,,,,,,
2009-04-30,,,,,,43.40252583,,,,,,
2009-05-01,,,,,,21.40415221,41.38772742,,,,,
2009-05-02,,,,,,43.42287575,,,,,,
2009-05-03,,,,,,33.91941592,,,,,,
2009-05-04,,,,,,24.3142059,43.06946192,,,,,
2009-05-05,,,,,,34.01099067,,,,,,
2009-05-06,,,,,,45.43752817,,,,,,
2009-05-07,,,,,,90.28897329,87.6845208,,,,,
2009-05-08,,,,,,38.88482121,,,,,,
2009-05-09,,,,,,31.84371367,,,,,,
2009-05-10,,,,,,26.45095802,43.33683334,,,,,
2009-05-11,,,,,,33.64469042,,,,,,
2009-05-12,,,,,,36.11721775,,,,,,
2009-05-13,,,,,,34.464885,74.14026295,,,,,
2009-05-14,,,,,,38.25397071,,,,,,
2009-05-15,,,,,,36.18490396,,,,,,
2009-05-16,,,,,,45.9869785,89.47143463,,,,,
2009-05-17,,,,,,27.72283443,,,,,,
2009-05-18,,,,,,37.66381913,,,,,,
2009-05-19,,,,,,38.345546,87.2384603,,,,,
2009-05-20,,,,,,41.70329958,,,,,,
2009-05-21,,,,,,49.72120646,,,,,,
2009-05-22,,,,,,45.33577775,88.42887332,,,,,
2009-05-23,,,,,,51.88848313,,,,,,
2009-05-24,,,,,,24.23280546,,,,,,
2009-05-25,,,,,,22.02482792,43.25402641,,,,,
2009-05-26,,,,,,36.70515648,,,,,,
2009-05-27,,,,,,42.48677442,,,,,,
2009-05-28,,,,,,55.78551392,,,,,,
2009-05-29,,,,,,38.83394604,,,,,,
2009-05-30,,,,,,41.91697342,,,,,,
2009-05-31,,,,,,27.01058354,17.27058538,,,,,
2009-06-01,,,,,,80.40903725,,,,,,
2009-06-02,,,,,,52.34636013,,,,,,
2009-06-03,,,,,,60.23199375,,,,,,
2009-06-04,,,,,,52.65161108,,,,,,
2009-06-05,,,,,,42.94464963,,,,,,
2009-06-06,,,,,,24.97558146,50.27521401,,,,,
2009-06-07,,,,,,15.78754654,,,,,,
2009-06-08,,,,,,32.19276065,,,,,,
2009-06-09,,,,,,70.16280158,55.8556406,,,,,
2009-06-10,,,,,,43.76572961,,,,,,
2009-06-11,,,,,,48.91738117,,,,,,
2009-06-12,,,,,,36.80911854,81.02608863,,,,,
2009-06-13,,,,,,115.16687346,,,,,,
2009-06-14,,,,,,29.73748645,,,,,,
2009-06-15,,,,,,29.91046188,53.22756018,,,,,
2009-06-16,,,,,,77.88563442,,,,,,
2009-06-17,,,,,,38.35572013,,,,,,
2009-06-18,,,,,,46.31257913,98.47654135,,,,,
2009-06-19,,,,,,37.59259554,,,,,,
2009-06-20,,,,,,35.10989267,,,,,,
2009-06-21,,,,,,20.55962629,40.09596187,,,,,
2009-06-22,,,,,,25.86080738,,,,,,
2009-06-23,,,,,,38.78307117,,,,,,
2009-06-24,,,,,,53.54701121,95.25784957,,,,,
2009-06-25,,,,,,44.57265113,,,,,,
2009-06-26,,,,,,49.609282,,,,,,
2009-06-27,,,,,,36.422468,77.32646873,,,,,
2009-06-28,,,,,,36.78876908,,,,,,
2009-06-29,,,,,,28.52666042,,,,,,
2009-06-30,,,,,,30.39886258,63.49287004,,,,,
2009-07-01,,,,,,37.05332004,,,,,,
2009-07-02,,,,,,35.22181754,,,,,,
2009-07-03,,,,,,37.68416992,74.11710141,,,,,
2009-07-04,,,,,,36.91086913,,,,,,
2009-07-05,,,,,,36.51404363,,,,,,
2009-07-06,,,,,,49.56283043,,,,,,
2009-07-07,,,,,,77.34635904,,,,,,
2009-07-08,,,,,,44.5217765,,,,,,
2009-07-09,,,,,,74.36508183,66.10264488,,,,,
2009-07-10,,,,,,74.05983092,,,,,,
2009-07-11,,,,,,28.86243521,,,,,,
2009-07-12,,,,,,27.93650975,48.06729417,,,,,
2009-07-13,,,,,,46.14977929,,,,,,
2009-07-14,,,,,,58.62434033,,,,,,
2009-07-15,,,,,,52.3056595,,,,,,
2009-07-16,,,,,,81.63003933,,,,,,
2009-07-17,,,,,,51.603584,,,,,,
2009-07-18,,,,,,44.22670192,92.51018609,,,,,
2009-07-19,,,,,,32.23036392,,,,,,
2009-07-20,,,,,,28.32315986,,,,,,
2009-07-21,,,,,,35.73056796,75.15761175,,,,,
2009-07-22,,,,,,38.61009575,,,,,,
2009-07-23,,,,,,37.60277038,,,,,,
2009-07-24,,,,,,39.34269638,80.26291019,,,,,
2009-07-25,,,,,,40.50264771,,,,,,
2009-07-26,,,,,,34.58079104,,,,,,
2009-07-27,,,,,,,,,,,,
2009-07-28,,,,,,,,,,,,
2009-07-29,,,,,,68.06675154,,,,,,
2009-07-30,,,,,,61.00529288,,,,,,
