Fecha,NO,NO2,PM10
2020-07-07,49.72544171,17.42699684,40.59090909
2020-07-08,36.8175944,17.51126324,29.52173913
2020-07-09,35.49027787,20.7273486,30.7826087
2020-07-10,36.4808428,20.69327379,33.375
2020-07-11,35.83744931,27.65522984,29.875
2020-07-12,26.6003207,10.29573231,21.79166667
2020-07-13,35.23630756,15.77128546,24.125
2020-07-14,37.92823028,19.48467187,25.79166667
2020-07-15,36.87503488,14.00779772,31.10526316
2020-07-16,23.45949123,20.48563605,35.79166667
2020-07-17,18.07850398,11.42214342,29.16666667
2020-07-18,14.36249319,11.10558296,25.66666667
2020-07-19,9.61201015,5.86247525,22.83333333
2020-07-20,5.63963793,2.53062461,22.79166667
2020-07-21,15.38713672,8.15276482,29.125
2020-07-22,20.54499571,13.10845153,30.125
2020-07-23,42.38776548,18.70794015,29.34782609
2020-07-24,38.62019824,19.02031908,22.83333333
2020-07-25,30.70248434,9.51900059,26.33333333
2020-07-26,19.44977752,2.97069032,20.33333333
2020-07-27,21.97986396,16.89351222,27.25
2020-07-28,19.52438238,16.13014045,27.95454545
2020-07-29,19.9763158,15.71080426,32.65
2020-07-30,53.28529817,27.05764747,38.5
2020-07-31,43.17655642,32.85186943,42.5
2020-08-01,16.06471793,21.25996239,24.375
2020-08-02,10.40828034,19.06984299,21.33333333
2020-08-03,21.21999112,30.15577554,35.25
2020-08-04,12.71901254,25.33029986,34.54166667
2020-08-05,31.48226077,27.7465426,43.22222222
2020-08-06,10.9590242,29.69875952,39.1
2020-08-07,11.11870015,17.39137068,31.25
2020-08-08,11.46417499,17.41112294,28.58333333
2020-08-09,8.68963961,15.34046516,27.125
2020-08-10,17.80324784,22.58182975,40.59090909
2020-08-11,18.95932426,33.03256229,46.83333333
2020-08-12,18.89858868,25.19576352,27.25
2020-08-13,26.62194226,27.25788888,31.47826087
2020-08-14,35.85664442,31.2244463,33.81818182
2020-08-15,23.93602922,23.1302769,21.52941176
2020-08-16,14.69070884,16.02510323,23.1875
2020-08-17,9.18503073,15.88829675,21.375
2020-08-18,20.38758089,22.19723444,40.8
2020-08-19,22.57489801,27.18535161,28.94117647
