Fecha,CO,DViento,HAire10,NO,NO2,O3,P,PLiquida,PM2.5,SO2,VViento
2020-05-20,368.00719455,111.79166667,73.88854167,23.06092577,17.04330461,25.08834556,22.88702083,0.0,14.33333333,23.85127853,1.8
2020-05-21,389.89664096,94.29166667,68.6041875,23.33188262,20.76928984,25.11286984,24.32085417,0.0025,19.26086957,35.03497501,1.61083333
2020-05-22,501.02477135,106.25,72.85696528,15.4180692,26.03791041,23.85395645,23.84901389,0.0,17.20833333,35.2204607,1.69333333
2020-05-23,512.55163546,106.20833333,73.16218339,14.50893135,19.19419372,29.20842577,24.10190278,0.0,16.58333333,25.72795735,2.26291667
2020-05-24,480.26442802,68.25,72.08270139,10.68139373,11.87536495,30.91695109,24.82194444,0.00958333,15.16666667,22.55287865,2.31125
2020-05-25,450.3902385,124.70833333,68.26610417,10.04481735,11.24067559,29.55994055,24.67997917,0.0,9.95,32.41635339,2.07041667
2020-05-26,472.42064771,89.29166667,69.80335417,12.83612198,15.77385265,22.84384016,24.44133333,0.0,10.875,18.23215298,2.16583333
2020-05-27,576.72581471,151.70833333,80.10539583,9.58848538,23.54989302,19.34148765,22.08972917,0.18875,14.0,22.07279802,1.88291667
2020-05-28,457.02567329,86.20833333,90.98945139,12.22615234,18.95512159,13.26763924,19.77953472,0.11416667,13.0,14.62063734,1.47625
2020-05-29,510.3200803,106.45833333,88.15491374,11.48916422,20.86345196,13.65185307,20.7140625,0.18041667,13.66666667,18.77769916,1.21541667
2020-05-30,515.06177284,83.0,93.16788889,13.26420192,19.50421258,12.04959966,19.2700625,0.36166667,15.25,14.80612304,1.41875
2020-05-31,373.81080678,100.70833333,88.87886558,5.80950045,11.60093306,17.89455472,19.77462041,0.01208333,10.41666667,10.77999231,1.56833333
2020-06-01,341.69247055,81.5,82.45744444,6.1493591,10.64453488,18.21337045,21.76923611,0.05041667,12.0,10.93274524,2.1225
2020-06-02,379.00813487,77.58333333,85.14252083,11.26305001,16.13386996,16.38222369,21.48525694,0.00208333,15.04166667,14.33695333,1.66958333
