Fecha,PM10
2020-12-24,
2020-12-25,28.98080715
2020-12-26,
2020-12-27,
2020-12-28,
2020-12-29,21.792277
2020-12-30,
2020-12-31,
2021-01-01,24.19673393
2021-01-02,
2021-01-03,
2021-01-04,
2021-01-05,27.6772316
2021-01-06,
2021-01-07,37.68594964
2021-01-08,
2021-01-09,
2021-01-10,10.71024897
2021-01-11,
2021-01-12,
2021-01-13,34.61303496
2021-01-14,
2021-01-15,
2021-01-16,31.03477336
2021-01-17,
2021-01-18,
2021-01-19,44.4981437
2021-01-20,
2021-01-21,40.60563826
2021-01-22,
2021-01-23,
2021-01-24,18.36368715
2021-01-25,
2021-01-26,
2021-01-27,36.95437947
2021-01-28,
2021-01-29,
2021-01-30,38.36978617
2021-01-31,
2021-02-01,
2021-02-02,26.02925507
2021-02-03,
2021-02-04,36.05106019
2021-02-05,
2021-02-06,
2021-02-07,22.89341067
2021-02-08,
2021-02-09,
2021-02-10,34.46799217
2021-02-11,
2021-02-12,
2021-02-13,35.78209761
2021-02-14,
2021-02-15,
2021-02-16,
2021-02-17,
2021-02-18,11.35846423
2021-02-19,
2021-02-20,
2021-02-21,24.85604764
2021-02-22,
2021-02-23,
2021-02-24,36.75372817
2021-02-25,
2021-02-26,
2021-02-27,35.70443721
2021-02-28,
2021-03-01,
2021-03-02,33.84925473
2021-03-03,
2021-03-04,45.23313037
2021-03-05,
2021-03-06,
2021-03-07,37.94076154
2021-03-08,
2021-03-09,
2021-03-10,28.37925332
2021-03-11,
2021-03-12,
2021-03-13,27.20332837
2021-03-14,
2021-03-15,
2021-03-16,18.94431837
2021-03-17,
2021-03-18,24.80468921
2021-03-19,
2021-03-20,
2021-03-21,21.81760993
2021-03-22,
2021-03-23,
2021-03-24,33.01063884
2021-03-25,
2021-03-26,
2021-03-27,25.67193505
2021-03-28,
2021-03-29,
2021-03-30,34.51896913
2021-03-31,
2021-04-01,
2021-04-02,
2021-04-03,
2021-04-04,
2021-04-05,
2021-04-06,25.24270014
2021-04-07,
2021-04-08,29.84287664
2021-04-09,
2021-04-10,
2021-04-11,21.23468788
2021-04-12,
2021-04-13,
2021-04-14,41.21372003
2021-04-15,
2021-04-16,
2021-04-17,30.76927239
2021-04-18,
2021-04-19,
2021-04-20,34.83465638
2021-04-21,
2021-04-22,46.77981783
2021-04-23,
2021-04-24,
2021-04-25,24.54060193
2021-04-26,
2021-04-27,
2021-04-28,17.87973082
2021-04-29,
2021-04-30,
2021-05-01,15.84702459
2021-05-02,
2021-05-03,
2021-05-04,23.66662311
2021-05-05,
2021-05-06,31.6089812
2021-05-07,
2021-05-08,
2021-05-09,12.0750296
2021-05-10,
2021-05-11,
2021-05-12,20.97941818
2021-05-13,
2021-05-14,
2021-05-15,
2021-05-16,6.63139814
2021-05-17,
2021-05-18,
2021-05-19,27.44949051
2021-05-20,
2021-05-21,
2021-05-22,20.3032796
2021-05-23,
2021-05-24,
2021-05-25,29.05756971
2021-05-26,
2021-05-27,29.69289153
2021-05-28,
2021-05-29,
2021-05-30,
2021-05-31,22.21546271
2021-06-01,
2021-06-02,
2021-06-03,19.23641508
2021-06-04,
2021-06-05,
2021-06-06,16.45819423
2021-06-07,
2021-06-08,
2021-06-09,16.76956395
2021-06-10,
2021-06-11,
2021-06-12,28.70286216
2021-06-13,
2021-06-14,
2021-06-15,
2021-06-16,30.65328855
2021-06-17,
2021-06-18,
2021-06-19,19.98025358
2021-06-20,
2021-06-21,
2021-06-22,20.76204082
2021-06-23,
2021-06-24,22.61673117
2021-06-25,
2021-06-26,
2021-06-27,21.03124661
2021-06-28,
2021-06-29,31.61409665
2021-06-30,
2021-07-01,25.44358338
2021-07-02,
2021-07-03,
2021-07-04,24.16897687
2021-07-05,
2021-07-06,
2021-07-07,38.65202741
2021-07-08,
2021-07-09,
2021-07-10,26.43822581
2021-07-11,
2021-07-12,
2021-07-13,29.08125642
2021-07-14,
2021-07-15,
2021-07-16,
2021-07-17,19.19388293
2021-07-18,
2021-07-19,
2021-07-20,24.8256188
2021-07-21,
2021-07-22,43.16246009
2021-07-23,
2021-07-24,
2021-07-25,
2021-07-26,
2021-07-27,
2021-07-28,36.76764181
2021-07-29,
2021-07-30,
2021-07-31,31.56242108
2021-08-01,
2021-08-02,
2021-08-03,36.73351378
2021-08-04,
2021-08-05,
2021-08-06,
2021-08-07,34.11830451
2021-08-08,
2021-08-09,
2021-08-10,19.01659625
2021-08-11,
2021-08-12,25.40878357
2021-08-13,
2021-08-14,
2021-08-15,17.38193197
2021-08-16,
2021-08-17,
2021-08-18,25.00341389
2021-08-19,
2021-08-20,
2021-08-21,31.4594088
2021-08-22,
2021-08-23,
2021-08-24,28.99948622
2021-08-25,
2021-08-26,31.06233461
2021-08-27,
2021-08-28,
2021-08-29,24.38019991
2021-08-30,
2021-08-31,
2021-09-01,26.76771192
2021-09-02,
2021-09-03,
2021-09-04,26.36834723
2021-09-05,
2021-09-06,
2021-09-07,27.72960476
2021-09-08,
2021-09-09,26.64656542
2021-09-10,
2021-09-11,
2021-09-12,
2021-09-13,31.69227912
2021-09-14,
2021-09-15,
2021-09-16,37.78476052
2021-09-17,
2021-09-18,
2021-09-19,16.79870561
2021-09-20,
2021-09-21,
2021-09-22,33.65571393
2021-09-23,
2021-09-24,
2021-09-25,42.69869925
2021-09-26,
2021-09-27,
2021-09-28,33.06789254
2021-09-29,
2021-09-30,25.40835988
2021-10-01,
2021-10-02,
2021-10-03,
2021-10-04,57.53446541
2021-10-05,
2021-10-06,
2021-10-07,28.48198683
2021-10-08,
2021-10-09,
2021-10-10,26.67606764
2021-10-11,
2021-10-12,31.29697098
2021-10-13,
2021-10-14,30.39686631
2021-10-15,
2021-10-16,
2021-10-17,2.62186321
2021-10-18,
2021-10-19,
2021-10-20,20.19239962
2021-10-21,
2021-10-22,
2021-10-23,35.19089345
2021-10-24,
2021-10-25,
2021-10-26,21.83239804
2021-10-27,
2021-10-28,37.99675043
2021-10-29,
2021-10-30,
2021-10-31,
2021-11-01,17.07375853
2021-11-02,
2021-11-03,
2021-11-04,30.33117797
2021-11-05,
2021-11-06,
2021-11-07,26.50451036
2021-11-08,
2021-11-09,21.03248078
2021-11-10,
2021-11-11,38.8833651
2021-11-12,
2021-11-13,
2021-11-14,22.87278329
2021-11-15,
2021-11-16,
2021-11-17,31.77831138
2021-11-18,
2021-11-19,
2021-11-20,20.05257265
2021-11-21,
2021-11-22,
2021-11-23,35.51687826
2021-11-24,
2021-11-25,20.35973782
2021-11-26,
2021-11-27,
2021-11-28,
2021-11-29,25.69142196
2021-11-30,
